amenity_name,amenity_type,lat,long,district_name
S0076,Carpark,1.326103931,103.6915921,PIONEER
S0078,Carpark,1.327022893,103.8794641,GEYLANG
S0079,Carpark,1.310557841,103.8618107,KALLANG
S0082,Carpark,1.32567623,103.6841148,PIONEER
S0083,Carpark,1.408408762,103.7511056,SUNGEI KADUT
S0084,Carpark,1.419814913,103.744323,SUNGEI KADUT
S0085,Carpark,1.412277083,103.7432345,SUNGEI KADUT
S0086,Carpark,1.423787389,103.7496393,SUNGEI KADUT
S0087,Carpark,1.415587029,103.748246,SUNGEI KADUT
S0088,Carpark,1.416786342,103.7478167,SUNGEI KADUT
S0090,Carpark,1.423548127,103.7474361,SUNGEI KADUT
S0091,Carpark,1.464608222,103.8028716,SEMBAWANG
S0092,Carpark,1.45621049,103.8030622,SEMBAWANG
S0094,Carpark,1.468365982,103.8122997,SEMBAWANG
S0096,Carpark,1.463820258,103.805025,SEMBAWANG
S0097,Carpark,1.468069049,103.8090555,SEMBAWANG
S0098,Carpark,1.315095417,103.8832525,GEYLANG
S0102,Carpark,1.276884069,103.8370506,BUKIT MERAH
S0103,Carpark,1.316197218,103.8265971,TANGLIN
S0105,Carpark,1.407007011,103.750052,SUNGEI KADUT
S0106,Carpark,1.356665109,103.8360584,BISHAN
S0108,Carpark,1.318557913,103.8505844,NOVENA
S0109,Carpark,1.357200717,103.8381327,BISHAN
S0110,Carpark,1.314492816,103.8984929,GEYLANG
S0111,Carpark,1.392697054,103.7536344,SUNGEI KADUT
S0112,Carpark,1.267882977,103.8179957,BUKIT MERAH
S0115,Carpark,1.31157277,103.8616913,KALLANG
S0118,Carpark,1.309634508,103.8625062,KALLANG
S0119,Carpark,1.318254891,103.8486844,NOVENA
S0120,Carpark,1.310888232,103.8593079,KALLANG
S0127,Carpark,1.306598382,103.9045967,MARINE PARADE
S0128,Carpark,1.323706697,103.9192708,BEDOK
S0130,Carpark,1.323424171,103.8777195,GEYLANG
S0132,Carpark,1.303318124,103.8607635,ROCHOR
S0134,Carpark,1.343845613,103.8701226,SERANGOON
S0135,Carpark,1.317987734,103.8991573,GEYLANG
S0136,Carpark,1.293793634,103.8307602,TANGLIN
S0139,Carpark,1.343646964,103.7755911,BUKIT TIMAH
S0141,Carpark,1.313020123,103.9264669,BEDOK
S0143,Carpark,1.314449518,103.8907306,GEYLANG
S0146,Carpark,1.333928618,103.7108726,JURONG WEST
S0148,Carpark,1.410050732,103.7449964,SUNGEI KADUT
S0149,Carpark,1.352323941,103.8355957,BISHAN
S0150,Carpark,1.302440009,103.8606564,ROCHOR
S0151,Carpark,1.460980891,103.8149633,SEMBAWANG
S0152,Carpark,1.345872891,103.8724375,SERANGOON
S0156,Carpark,1.316169563,103.8793797,GEYLANG
S0157,Carpark,1.319686518,103.9119543,BEDOK
S0158,Carpark,1.329706458,103.8736979,TOA PAYOH
S0159,Carpark,1.327018019,103.8429488,NOVENA
S0160,Carpark,1.36526043,103.8312472,BISHAN
S0161,Carpark,1.442588534,103.8234602,SEMBAWANG
S0162,Carpark,1.393201304,103.9165801,PUNGGOL
S0164,Carpark,1.411688649,103.8697219,SELETAR
S0166,Carpark,1.453647122,103.8331782,SEMBAWANG
S0167,Carpark,1.385674269,103.8731082,SERANGOON
S0168,Carpark,1.383256348,103.8758114,SERANGOON
S0170,Carpark,1.45351507,103.8324998,SEMBAWANG
S0171,Carpark,1.275691157,103.8350539,BUKIT MERAH
T0002,Carpark,1.278270072,103.8437555,OUTRAM
T0003,Carpark,1.294511686,103.8435437,MUSEUM
T0004,Carpark,1.291185009,103.8451652,SINGAPORE RIVER
T0005,Carpark,1.298515746,103.8566882,DOWNTOWN CORE
T0006,Carpark,1.280310556,103.84187,OUTRAM
T0008,Carpark,1.280286554,103.8474463,OUTRAM
T0009,Carpark,1.282895012,103.8441081,OUTRAM
T0010,Carpark,1.279973667,103.8407093,OUTRAM
T0014,Carpark,1.278668771,103.847283,DOWNTOWN CORE
T0017,Carpark,1.286944727,103.8247125,BUKIT MERAH
T0019,Carpark,1.30250664,103.7402914,JURONG EAST
T0020,Carpark,1.304158129,103.7367656,JURONG EAST
T0021,Carpark,1.311070371,103.8598901,KALLANG
T0022,Carpark,1.307760548,103.8583766,KALLANG
T0025,Carpark,1.328907012,103.8696805,TOA PAYOH
T0031,Carpark,1.311062628,103.8780435,GEYLANG
T0033,Carpark,1.353293099,103.8768765,SERANGOON
T0036,Carpark,1.367325938,103.9291312,PAYA LEBAR
T0039,Carpark,1.327535782,103.8775861,GEYLANG
T0040,Carpark,1.334133291,103.7155723,JURONG WEST
T0043,Carpark,1.308716502,103.7640749,CLEMENTI
T0057,Carpark,1.314827624,103.8556805,KALLANG
